Rótulo,# Amostras,Média,Mín.,Máx.,Desvio Padrão,% de Erro,Vazão,KB/s,Sent KB/sec,Média de Bytes
https://petstore.octoperf.com/actions/Account.action?signonForm=,100,1053,995,2077,162.56,0.000%,35.61254,161.86,18.19,4654.0
https://petstore.octoperf.com/actions/Account.action,100,513,498,653,17.13,0.000%,42.53509,225.64,61.60,5432.0
https://petstore.octoperf.com/actions/Account.action?signoff=,100,511,496,577,11.27,0.000%,41.32231,212.99,45.88,5278.0
Test,100,2078,1990,3277,186.75,0.000%,3.17834,47.69,9.76,15364.0
TOTAL,400,1039,496,3277,651.40,0.000%,12.71335,95.38,19.51,7682.0
